Song Title,Lyrics,URL,Processed_Lyrics,Lyricist,composer,year,Sentiment_BERT,Emotion,Top_TFIDF_Word
حالة حب,"حالة حب
حالة حب
حالة حب
عايشه حالة حب معاك واخداني وصعب انها
تتكرر تاني وبعيشها لو انت بعيد او قدامي
واخيرا الايام رضيو عليا اخيرا
جيه يا حبيبي اليوم ليا ارتاح من قسوة
ايامي
سيبنى اسرح فيك شويه وانسي ايام ضاعو مني
نفسي عمري يعدي بيا وانت بعنيك دول حضني
وانا جنبك شايفه منك حاجه من ريحه ابويا
حب الدنيا دي جواك ومعاك شايفه حنيه اخويا
وانت هنا معايا بدعي من جوايا
تجمعني الايام بيك ربنا يقبل دعايا
عايشه حالة حب معاك واخداني وصعب
انها تتكرر تاني وبعيشها لو انت بعيد او قدامي
واخيرا الايام رضيو عليا اخيرا جيه
يا حبيبي اليوم ليا ارتاح من قسوة ايامي
كل يوم بينك وبيني مش هيبقي يوم
وعدي بكره ييجي وتلاقيني نفس احساس النهارده
من هنا ورايح سنيني ناويه اعشهالك
بحالها وانا صعب سنيني في يوم
تتعاش غير لانسان يستاهلها
حالة حب",https://lyricstranslate.com/en/elissa-halet-hob-lyrics.html,"حله
حب
حله
حب
حله
حب
عيش
حله
حب
عاك
خدنى
صعب
انه
تكر
تنى
بعش
انت
بعد
او
قدمى
اخر
ايم
رضو
علا
اخر
جيه
حبيبى
اليوم
ليا
راح
قسه
يمى
بنى
سرح
فيك
شوه
نسى
ايم
ضعو
منى
فسى
عمرى
عدى
بيا
ونت
بعن
دول
حضنى
ونا
جنب
شيف
منك
حجه
ريح
ابو
حب
دنا
دى
جوك
ومع
شيف
حنه
اخو
ونت
معا
دعى
جوا
جمعنى
ايم
بيك
ربن
قبل
دعا
عيش
حله
حب
عاك
خدنى
صعب
انه
تكر
تنى
بعش
انت
بعد
او
قدمى
اخر
ايم
رضو
علا
اخر
جيه
حبيبى
اليوم
ليا
راح
قسه
يمى
يوم
بين
ينى
مش
هيبقى
يوم
عدى
بكر
يجى
وتلاقينى
حسس
هرد
ريح
ينى
نوي
عشهال
بحل
ونا
صعب
ينى
فى
يوم
تعش
لنس
تهل
حله
حب",نادر عبدالله,سونر جيركيكير,2014,negative,sadness,يوم
حب كل حياتي Kol,"حب كل حياتي
حب كل حياتي
حب كل حياتي
حب كل حياتي لقيته وقلبي خلاص اختار
واخيرا فرحة عمري بعيشها انا ليل ونهار
وانت جنبي لأول مرة بحس براحة بال
واللي نفسي اقوله عليك غير اي كلام يتقال
كل غالي يهون يا حبيي فداك
ويهمني ايه غير اني معاك
ايه معني الدنيا دي غير وياك
كل ليلة بتتعاش جنبك بالنسبة لي خيال
جوه مني غلاوتك دايما قلبي على ده الحال
انت أول حب واخر حب هعيش وياه
واللي بيني وبينك احساس اكبر من معناه
كل غالي يهون يا حبيي فداك
ويهمني ايه غير اني معاك
ايه معني الدنيا دي غير وياك
حب كل حياتي",https://lyricstranslate.com/en/elissa-hob-kol-7yaty-lyrics.html,"حب
حيتى
حب
حيتى
حب
حيتى
حب
حيتى
لقت
قلبى
خلص
خار
اخر
فرح
عمرى
بعش
انا
ليل
نهر
ونت
جنبى
لول
مره
بحس
برح
بال
ولى
فسى
اقل
اى
كلم
تقل
غلى
يهن
حبى
فدك
همنى
ايه
انى
عاك
ايه
عنى
دنا
دى
ويك
ليل
تعش
جنب
نسب
لى
خيل
جوه
منى
غلو
داي
قلبى
ده
حال
انت
اول
حب
وخر
حب
هعش
ويه
ولى
ينى
وبن
حسس
كبر
عنه
غلى
يهن
حبى
فدك
همنى
ايه
انى
عاك
ايه
عنى
دنا
دى
ويك
حب
حيتى",احمد الجندى,مدين,2014,negative,joy,ايه
حبة اهتمام,"حبة اهتمام
حبة اهتمام
حبة اهتمام
مش عايزة منك اني أعيش دنيا ولا الأحلام
مش عايزة منك وعد يطلع في النهاية كلام
كل اللي طالباه إني احس بحبة اهتمام
أحلامي ابسط من اللي ممكن يوم تتخيلو
عايزة أما ترمي عليا حمل ابقى قادرة اتحملو
ولو مشيت وياك طريق في الآخر أكملو
مين اللي قلك عالغرام كلو جراح وعذاب
ولحد ايمتى تفتكر هفضل مواربة الباب
هيجيلي وقت وأقول اسيب قبل أما انا اللي اتساب
اوقات كتيرة بقول لنفسي انا كنت مالي في كل ده
كل لما اقول انا لازم أنسى ببقى ليه مترددة
شكلي بقيت بعشق عذابي وع الدموع متعودة
كان كل ماجي أقول اقولك برجع اقول بلاش
وفضلت كاتمة جوا قلبي حاجات وما قلتهاش
وكل مرة أقول مسيرو يحس باللي أنا فيه
كان كل شيء في حياتي صعب أحاول أسهلو
كان الأمل اللي بعيشو بايدك تقتلو
اديني بس سبب اعيش عمري اللي باقي عليه
حبة اهتمام",https://lyricstranslate.com/en/elissa-%D8%AD%D8%A8%D8%A9-%D8%A7%D9%87%D8%AA%D9%85%D8%A7%D9%85-lyrics.html,"حبه
همم
حبه
همم
حبه
همم
مش
عيز
منك
انى
اعش
دنا
حلم
مش
عيز
منك
وعد
طلع
فى
نهي
كلم
الى
طلب
انى
احس
بحب
همم
حلمى
بسط
الى
مكن
يوم
خيلو
عيز
اما
رمى
علا
حمل
بقى
قدر
حملو
شيت
ويك
طرق
فى
اخر
كملو
مين
الى
قلك
عالغرام
كلو
جرح
عذب
لحد
متى
فكر
هفضل
ورب
باب
هيجيلى
وقت
وقل
اسب
اما
انا
الى
تسب
اوق
كتر
بقل
فسى
انا
كنت
الى
فى
ده
اقل
انا
لزم
نسى
بقى
ليه
ترد
شكلى
بقت
عشق
عذبى
وع
دمع
تعد
اجى
اقل
اقل
رجع
اقل
بلش
فضل
كتم
جوا
قلبى
حاج
قلتهاش
وكل
مره
اقل
سيرو
يحس
بلى
انا
شيء
فى
حيتى
صعب
حول
هلو
امل
الى
عيشو
بيد
قلو
دينى
سب
اعش
عمرى
الى
بقى
حبه
همم",امير طعيمه,زياد برجى,2020,neutral,fear,الى
حكايتي معك,"حكايتي معك
حكايتي معك
حكايتي معك
في أول الحكايات حكايتي معك
بقالي زمان واخدني هواك
و جوة في قلبي ليك أيام ما بتتنسيش
و آخر الحكايات حكايتي معك
خلاص حبيت و أنا اتحبيت و عايشة معك
كأني أول مرة أعيـش
احلف بايه أول ما دق القلب دق القلب ليك
احلف بايه أول ما قلت احب كانت بين اديك
أيامي قبلك تسوى ايه و حياتي بعدك أعيشها ليه
حكايتنا لو يا حبيبي حلم يا ريت تسبني عايشة فيه
في أول الحكايات حكايتي معك
بقالي زمان واخدني هواك و جوة في قلبي ليك أيام ما بتتنسيش
حكايتي معك",https://lyricstranslate.com/en/elissa-hikayti-maak-lyrics.html,"حكايتى
معك
حكايتى
معك
حكايتى
معك
فى
اول
حكي
حكايتى
معك
قلى
زمن
خدنى
هوك
جوه
فى
قلبى
ليك
ايم
نسش
اخر
حكي
حكايتى
معك
خلص
حبت
انا
تحب
عيش
معك
كنى
اول
مره
عيـش
حلف
بيه
اول
دق
قلب
دق
قلب
ليك
حلف
بيه
اول
قلت
احب
كانت
ادك
يمى
قبل
تسى
ايه
حيتى
بعد
اعش
ليه
حكي
حبيبى
حلم
ريت
بنى
عيش
فى
اول
حكي
حكايتى
معك
قلى
زمن
خدنى
هوك
جوه
فى
قلبى
ليك
ايم
نسش
حكايتى
معك",نادر عبدالله,تامر عاشور,2006,positive,sadness,ليك
حلم الاحلام,"حلم الأحلام
احكيني حبيبي احكيني لصوتك قلبي مشتاق
لونلي سنيني لون الحب وعطر الاشواق
صوتك سحر وغرام عدلي هاك الايام
اول ماقلت بحبك وعشنا حلم الاحلام
احكيني حبيبي ورجعني الماضي الليلات وارسمني
صورة بقلبك واحملني فوق جناح الايام
صوتك سحر وغرام عدلي هاك الايام
اول ماقلت بحبك وعشنا حلم الاحلام
احكيني حبيبي حكايات اكتبلي حرف بكلمات
بستحلى اسمع ضحكاتك بلحب رميوني سهام
صوتك سحر وغرام عدلي هاك الايام
اول ماقلت بحبك وعشنا حلم الاحلام",https://lyricstranslate.com/en/elissa-hilm-al-ahlam-lyrics.html,"حلم
حلم
حكينى
حبيبى
حكينى
لصت
قلبى
شتق
نلى
ينى
لون
لحب
عطر
شوق
صوت
سحر
غرم
عدلى
ايم
اول
اقل
بحب
وعش
حلم
حلم
حكينى
حبيبى
رجعنى
اضى
يلت
رسمنى
صور
قلب
حملنى
جنح
ايم
صوت
سحر
غرم
عدلى
ايم
اول
اقل
بحب
وعش
حلم
حلم
حكينى
حبيبى
حكي
كتبلى
حرف
كلم
حلى
سمع
ضحك
لحب
رميونى
سهم
صوت
سحر
غرم
عدلى
ايم
اول
اقل
بحب
وعش
حلم
حلم",عادل رفول,ناصر الاسعد,1999,negative,sadness,حبيبى
حلوة يا بلدي ,"حلوة يا بلدي
حلوة يا بلدي
حلوة يا بلدي
كلمه حلوة وكلمتين حلوة يا بلدى
غنوه حلوة وغنوتين حلوة يا بلدي
املي دايما كان يا بلدي
انى ارجعلك يا بلدي
وافضل جنبك علي طول
ذكريات كل اللى فات فاكره يا بلدي
قلبي مليان بحكايات فاكره يا بلدي
اول حب كان في بلدي
مش ممكن هنساه يا بلدي
فين ايام زمان قبل الوداع
كنا بنقول ان الفراق ده مستحيل
وكل دمعه علي الخدين كانت بتسيل
مليانه بامل ان احنا نبقي موجودين
في بحر الحب على الشطين
كلمه حلوة وكلمتين حلوة يا بلدى
غنوه حلوة وغنوتين حلوة يا بلدي
فين حبيب القلب يا بلدي
كان بعيد عنى يا بلدي
وكل ما بغني بفكر فيه
قول يا حبيبي انت سايبني ورايح فين
اجمل لحن ده هنغنيه احنا الاتنين
يامحلي كلمه بلدي في غنوه من سطرين
يا ليل يا عين يا عين يا ليلي
حلوة يا بلدي",https://lyricstranslate.com/en/elissa-helwa-ya-baladi-lyrics.html,"حله
لدى
حله
لدى
حله
لدى
كلم
حله
كلم
حله
لدى
غنه
حله
غنو
حله
لدى
ملى
داي
لدى
انى
رجعل
لدى
فضل
جنب
طول
ذكر
الى
فات
فكر
لدى
قلبى
ملي
بحك
فكر
لدى
اول
حب
فى
لدى
مش
مكن
هنس
لدى
فين
ايم
زمن
ودع
كنا
نقل
ان
فرق
ده
حيل
وكل
دمع
خدن
كانت
تسل
لين
بمل
ان
احن
بقى
وجد
فى
بحر
لحب
شطن
كلم
حله
كلم
حله
لدى
غنه
حله
غنو
حله
لدى
فين
قلب
لدى
بعد
عنى
لدى
وكل
غنى
فكر
قول
حبيبى
انت
بنى
ريح
فين
جمل
لحن
ده
هنغ
احن
اتن
حلى
كلم
لدى
فى
غنه
سطر
ليل
يلى
حله
لدى",مروان سعادة,برنار لياميس و جيف بارنيل,2015,negative,sadness,كلم
خد بالك عليا ,"خد بالك عليا
خد بالك عليا
خد بالك عليا
خد بالك عليا
دي مش معامله تعاملني بيها
وابقى افتكر ليا
ايام تعبت عشانك فيها
ياريتك بس تفهمني ومتستهونش
بواحده تبقى مجروحه ومبتبينش
دي الواحده قد ما تضحي وتستحمل
اول ما بتفكر تنسى ما بتستأذنش
كان في حاجات ناقصاك وانا كملتها
وحاجات كتير مش حلوه فيك جملتها
انا فرصه لو ضيعتها هتزعل عليها
مين غيري عايشه تخاف عليك طول عمرها
مين غيري هتسيب روحها ليك لو سبتها
مين غيري لو تحتاجلها قوام هتلاقيها؟
خد بالك عليا",https://lyricstranslate.com/en/elissa-khod-balak-alaya-lyrics.html,"خد
بلك
علا
خد
بلك
علا
خد
بلك
علا
خد
بلك
علا
دى
مش
عمل
عاملنى
بيه
بقى
فكر
ليا
ايم
تعب
عشن
يري
همنى
ومتستهونش
بحد
بقى
جرح
ومبتبينش
دى
وحد
ضحى
حمل
اول
فكر
نسى
بتستاذنش
فى
حاج
نقص
ونا
كمل
وحج
كتر
مش
حله
فيك
جمل
انا
فرص
ضيع
هتزعل
عليها
مين
غيرى
عيش
تخف
طول
عمر
مين
غيرى
هتسيب
روح
ليك
سبت
مين
غيرى
حتجل
قوم
هتلاق
خد
بلك
علا",نادر عبدالله,وليد سعد,2007,neutral,fear,بقى
خليني أعيش,"خليني أعيش
خليني أعيش
خليني أعيش
معقول انا جنبك هنا
عايشه بشوق مابينتهيش
من اللحظة دي عمري إبتدا
من الحلم ده ماتصحنيش
خليني اعيش وانا بين إيديك
ماتغبش يوم بعدك ماليش
مايكفنيش في الشوق إليك
مليون غرام مايكفنيش
من ده اللي يقدر يبعدك
عني ويسرق حبنا
انا من الليلة دي بوعدك
على طول حانبقى لبعدنا
خليني أعيش",https://lyricstranslate.com/en/elissa-khalini-a3ish-%D8%AE%D9%84%D9%8A%D9%86%D9%8A-%D8%A3%D8%B9%D9%8A%D8%B4-lyrics.html,"خلينى
اعش
خلينى
اعش
خلينى
اعش
عقل
انا
جنب
عيش
بشق
مابينتهيش
حظه
دى
عمرى
بدا
حلم
ده
ماتصحنيش
خلينى
اعش
ونا
ايد
ماتغبش
يوم
بعد
الش
مايكفنيش
فى
شوق
الك
ملي
غرم
مايكفنيش
ده
الى
قدر
بعد
عنى
سرق
حبن
انا
يله
دى
وعد
طول
حانبقى
بعد
خلينى
اعش",سامح العجمى,شريف تاج,2004,negative,sadness,بعد
رمشة عین,"رمشة عین
رمشة عین
رمشة عین
قللي كيف برمشه عين
حن الليل وصار يطول
صارت عين تقابل عين
عينك تسال عيني تقول
قللي كيف برمشه عين
قللي كيف برمشه عين
حن الليل وصار يطول
قللي كيف برمشه عين
حن الليل وصار يطول
صارت عين تقابل عين
عينك تسال عيني تقول
قللي كيف برمشه عين
قللي كيف برمشه عين
حن الليل وصار يطول
ومن مين قللي سارق حلا العيون
ما بقول لا مابقول
صارحني يامجنون
ومين قللي مش من حلا انسان
بدي الحلا يحكي ويروي قلب عطشان
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
قللي كيف برمشه عين
حن الليل وصار يطول
صارت عين تقابل عين
عينك تسال عيني تقول
قللي كيف برمشه عين
قللي كيف برمشه عين
حن الليل وصار يطول
قللي كيف برمشه عين
حن الليل وصار يطول
صارت عين تقابل عين
عينك تسال عيني تقول
قللي كيف برمشه عين
قللي كيف برمشه عين
حن الليل وصار يطول
ومن مين قللي سارق حلا العيون
ما بقول لا مابقول
صارحني يامجنون
ومين قللي مش من حلا انسان
بدي الحلا يحكي ويروي قلب عطشان
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
ودفيني
بردانه
ودفي قلبي منك آه و آه من قلبي اللي مال وقال
ناديني
فزعانه
رمشة عین",https://lyricstranslate.com/en/elissa-ramchet-ayn-lyrics.html,"رمش
عین
رمش
عین
رمش
عین
قلى
رمش
حن
الل
وصر
يطل
صرت
قبل
عين
تسل
عينى
تقل
قلى
رمش
قلى
رمش
حن
الل
وصر
يطل
قلى
رمش
حن
الل
وصر
يطل
صرت
قبل
عين
تسل
عينى
تقل
قلى
رمش
قلى
رمش
حن
الل
وصر
يطل
مين
قلى
سرق
حلا
عين
بقل
مابقول
صارحنى
يمج
ومن
قلى
مش
حلا
انس
بدى
حلا
حكى
يرى
قلب
عطش
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
قلى
رمش
حن
الل
وصر
يطل
صرت
قبل
عين
تسل
عينى
تقل
قلى
رمش
قلى
رمش
حن
الل
وصر
يطل
قلى
رمش
حن
الل
وصر
يطل
صرت
قبل
عين
تسل
عينى
تقل
قلى
رمش
قلى
رمش
حن
الل
وصر
يطل
مين
قلى
سرق
حلا
عين
بقل
مابقول
صارحنى
يمج
ومن
قلى
مش
حلا
انس
بدى
حلا
حكى
يرى
قلب
عطش
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
دفينى
برد
دفى
قلبى
منك
اه
اه
قلبى
الى
مال
وقل
دينى
فزع
رمش
عین",الياس ناصر,جورج كرم,2000,positive,neutral,قلى
زكريا,"زكريا
زكريا
زكريا
زكريا
بهدي لعيونك فرحني ودمعاتي في عنيا
زكريا
لو اغني ليك ميكفينيش الف اغنيه
زكريا
والله واحشني وبدوب والعشق فيك غيه
زكريا
علطول في سيرتك ياللى صورتك باينه اهي عليا
زكريا
وحشاني ايام البلد بيتنا اللى في الضاحية
زكريا
الذكرى بتعيش للأبد بين القلوب تحيا
زكريا......
يا ابويا يا ابو المغرمين فاكر ليالينا
زكريا.....
علطول في بالي وفخيالي نايمه او صاحيه
ياليالي تعالى وعودي حرري وطني وحدودي
انا دمعي مغرق عودي واناهشكى لمين غير الله
بطلي يا دموعي تزيدي نوري يا شموعي و ايدي
يا ما خدني يا ناس من ايدي وارتحت فحضنه من الآه
زكريا........
كانت عيونك طيبه وصوتك مليان شجن
زكريا.......
رغم الليالي المتعبه شاغلك حب الوطن
زكريا
يا ما كنت الف الكون كتير وارجع اغنيلك
زكريا
تضحك في حزنك ياللي حضنك احلى دار وسكن
زكريا.......
انا فاكره تفاصيل المكان ولمتنا ليله العيد
زكريا
انا شايفه فيك ايام زمان أطفال ولبس جديد
زكريا.........
احساس برآءه ميتحكيش عايش في وجداني
زكريا
يا وحشني كلك مهما اقولك الف مره هعيد
ياليالي تعالى وعودي حرري وطني وحدودي
انا دمعي مغرق عودي واناهشكى لمين غير الله
بطلي يا دموعي تزيدي نوري يا شموعي و ايدي
يا ما خدني يا ناس من ايدي وارتحت فحضنه من الآه
زكريا
زكريا",https://lyricstranslate.com/en/elissa-zakaria-%D8%B2%D9%83%D8%B1%D9%8A%D8%A7-lyrics.html,"زكر
زكر
زكر
زكر
هدى
لعو
رحنى
دمعاتى
فى
عنا
زكر
غنى
ليك
ميكفينيش
الف
اغن
زكر
وله
حشنى
بدب
عشق
فيك
غيه
زكر
علطول
فى
سير
يلى
صور
بين
اهى
علا
زكر
حشنى
ايم
بلد
بيت
الى
فى
ضحي
زكر
ذكرى
تعش
لبد
قلب
تحا
زكر
ابو
ابو
غرم
فكر
ليل
زكر
علطول
فى
بلى
خيلى
نيم
او
صحي
يلى
على
عودى
طنى
حدودى
انا
دمعى
غرق
عودى
واناهشكى
لمن
اله
طلى
دموعى
زيدى
ورى
شموعى
يدى
خدنى
ناس
يدى
رتح
فحض
اله
زكر
كانت
عين
طيب
وصت
ملي
شجن
زكر
رغم
يلى
تعب
شغل
حب
وطن
زكر
كنت
الف
كون
كتر
رجع
غنل
زكر
تضح
فى
حزن
يلى
حضن
حلى
دار
وسك
زكر
انا
فكر
فصل
كان
ولم
ليل
عيد
زكر
انا
شيف
فيك
ايم
زمن
طفل
لبس
جدد
زكر
حسس
برء
ميتحكيش
عيش
فى
جدنى
زكر
حشنى
كلك
اقل
الف
مره
هعد
يلى
على
عودى
طنى
حدودى
انا
دمعى
غرق
عودى
واناهشكى
لمن
اله
طلى
دموعى
زيدى
ورى
شموعى
يدى
خدنى
ناس
يدى
رتح
فحض
اله
زكر
زكر",محمد رحيم,محمد رحيم,2017,negative,sadness,يلى
زهرة من الياسمين ,"زهرة من الياسمين
زهرة من الياسمين
زهرة من الياسمين
أنا أهلك أنا حبابك
أنا العطر اللي ع تيابك
أنا الطيون والزيتون
وصفحة بيضة بكتابك
أنا أهلك أنا حبابك
أنا العطر اللي ع تيابك
أنا الطيون والزيتون
وصفحة بيضة بكتابك
أنا زهرة من الياسمين
مليانة عشق وحنين
وبياضي من تلج صنين
وحضني الدافي بترابك
أنا زهرة من الياسمين
مليانة عشق وحنين
وبياضي من تلج صنين
وحضني الدافي بترابك
يا وطني الحب بعتلك
هوا النسمات تيقلك
أنا عشقي الك كلك
وعمري كلو عحسابك
يا وطني الحب بعتلك
هوا النسمات تيقلك
أنا عشقي الك كلك
وعمري كلو عحسابك
أنا زهرة من الياسمين
مليانة عشق وحنين
وبياضي من تلج صنين
وحضني الدافي بترابك
وطني يا دفا الايام
وذكرى الحب والاحلام
أرضك للمحبة سلام
وفاتح للدنيي بوابك
وطني يا دفا الايام
وذكرى الحب والاحلام
أرضك للمحبة سلام
وفاتح للدنيي بوابك
أنا زهرة من الياسمين
مليانة عشق وحنين
وبياضي من تلج صنين
وحضني الدافي بترابك
أنا أهلك أنا حبابك
أنا العطر اللي ع تيابك
أنا الطيون والزيتون
وصفحة بيضة بكتابك
أنا زهرة من الياسمين
مليانة عشق وحنين
وبياضي من تلج صنين
وحضني الدافي بترابك
أنا أهلك أنا حبابك
زهرة من الياسمين",https://lyricstranslate.com/en/elissa-zahra-men-el-yasmine-lyrics.html,"زهر
يسم
زهر
يسم
زهر
يسم
انا
اهل
انا
حبب
انا
عطر
الى
يبك
انا
طين
زيت
صفح
بيض
كتب
انا
اهل
انا
حبب
انا
عطر
الى
يبك
انا
طين
زيت
صفح
بيض
كتب
انا
زهر
يسم
لين
عشق
وحن
يضى
تلج
صنن
حضنى
دفى
ترب
انا
زهر
يسم
لين
عشق
وحن
يضى
تلج
صنن
حضنى
دفى
ترب
طنى
لحب
عتل
هوا
نسم
يقل
انا
عشقى
الك
كلك
عمرى
كلو
عحساب
طنى
لحب
عتل
هوا
نسم
يقل
انا
عشقى
الك
كلك
عمرى
كلو
عحساب
انا
زهر
يسم
لين
عشق
وحن
يضى
تلج
صنن
حضنى
دفى
ترب
طنى
دفا
ايم
ذكرى
لحب
حلم
ارض
محب
سلم
فتح
دنى
ببك
طنى
دفا
ايم
ذكرى
لحب
حلم
ارض
محب
سلم
فتح
دنى
ببك
انا
زهر
يسم
لين
عشق
وحن
يضى
تلج
صنن
حضنى
دفى
ترب
انا
اهل
انا
حبب
انا
عطر
الى
يبك
انا
طين
زيت
صفح
بيض
كتب
انا
زهر
يسم
لين
عشق
وحن
يضى
تلج
صنن
حضنى
دفى
ترب
انا
اهل
انا
حبب
زهر
يسم",كمال القبيسى,اسامه الرحبانى,2022,negative,joy,انا
سألنا,"سألنا
سألنا
سألنا
سألنا, ماقدرنا نجاوب, خجلنا, منعنا نجاوب, املنا يفهمنا و ما يسال اه
سألنا, ماقدرنا نجاوب, خجلنا, منعنا نجاوب, املنا يفهمنا و ما يسال اه
بعدو عذبنا قربو تعبنا ناديتو بقلبي لاقيتو وبسهر عيني وبغفى عيني شو حبيتو
ياليلي ويلي ويل حالي اه لو قلبي تمنى و ما غنى
ياليلي ويلي ويل حالي من حنان تهنى و ما غنى
حبينا, ما عرفنا نحكي, عنينا بتحكي وشو بتحكي, انتهينا ما نسينا نتامل
ياما سهرنا ياما تاخرنا و بسهر عيني وبغفى عيني شو حبيتو
ياليلي ويلي ويل حالي اه لو قلبي تمنى و ما غنى
ياليلي ويلي ويل حالي من حنان تهنى و ما غنى
سألنا, ماقدرنا نجاوب, خجلنا, منعنا نجاوب, املنا يفهمنا و ما يسال اه
بعدو عذبنا قربو تعبنا ناديتو بقلبي لاقيتو وبسهر عيني وبغفى عيني شو حبيتو
ياليلي ويلي ويل حالي اه لو قلبي تمنى و ما غنى
ياليلي ويلي ويل حالي من حنان تهنى و ما غنى
جميلة جميلة
سألنا",https://lyricstranslate.com/en/elissa-saalna-lyrics.html,"سال
سال
سال
سال
اقدر
جوب
خجل
منع
جوب
امل
فهم
يسل
اه
سال
اقدر
جوب
خجل
منع
جوب
امل
فهم
يسل
اه
عدو
عذب
قربو
تعب
ديتو
قلبى
قيتو
سهر
عينى
غفى
عينى
شو
حبيتو
يلى
يلى
ويل
حلى
اه
قلبى
منى
غنى
يلى
يلى
ويل
حلى
حنن
هنى
غنى
حبي
عرف
حكى
عني
حكى
وشو
حكى
نهي
نسي
تمل
يما
سهر
يما
تخر
سهر
عينى
غفى
عينى
شو
حبيتو
يلى
يلى
ويل
حلى
اه
قلبى
منى
غنى
يلى
يلى
ويل
حلى
حنن
هنى
غنى
سال
اقدر
جوب
خجل
منع
جوب
امل
فهم
يسل
اه
عدو
عذب
قربو
تعب
ديتو
قلبى
قيتو
سهر
عينى
غفى
عينى
شو
حبيتو
يلى
يلى
ويل
حلى
اه
قلبى
منى
غنى
يلى
يلى
ويل
حلى
حنن
هنى
غنى
جمل
جمل
سال",الياس ناصر,سردار اورتاج,2000,positive,neutral,يلى
سلملي عليه,"سلملي عليه
سلملي عليه
سلملي عليه
سلملی علیه روح و سلملی علیه
قلو مشتاقه لیه
هوی الما فی متلو حدا حبیببی ع طول المدى
روح و سلملی علیه
سلملی علیه روح و سلملی علیه
قلو مشتاقه لیه
هوی الما فی متلو حدا حبیببی ع طول المدى
روح و سلملی علیه
مشتاقه کتیر نرجع نتلاقى یوم
ننسى العتب واللوم
نحکی سوى، نضحک سوى
نتمشى ع دروب الهوى
نام و اصحى ع ایدایه
روح قلو غیرو ما بیحکی
تسلملی ریتا هالضحکی
شو بحبا واسالوا برکی على حالو
على حالو
بعدو ع الفرقى وبیحلم
متلی بالملقى
او بخطر حتى لو سرقه
على بالو
سلملی علیه
روح وهیدا العنوان
شفلی ان کننو زعلان
او غیری ع قلبوداهتدى
بداری حبیبی من الندى من النسمه اللی حوالیه
روح قلو غیرو ما بدی
من حبو بالدینی أدی
و ودیلو هالعمر ودی
بسلامی
واحکیلو
هالعمر مرقه یرجعلی نسعد ونشثى
وشو بتحلى لو سوى نبقى
ایامی
سلملی علیه روح و سلملی علیه
قلو مشتاقه لیه
هوی الما فی متلو حدا حبیببی ع طول المدى
روح و سلملی علیه
مشتاقه کتیر نرجع نتلاقى یوم
ننسى العتب واللوم
نحکی سوى، نضحک سوى
نتمشى ع دروب الهوى
نام و اصحى ع ایدایه
سلملي عليه",https://lyricstranslate.com/en/elissa-sallemly-aley-%D8%B3%D9%84%D9%85%D9%84%D9%8A-%D8%B9%D9%84%D9%8A%D9%87-lyrics.html,"ملى
ملى
ملى
ملی
علی
روح
ملی
علی
قلو
شتق
لیه
هوی
الم
فی
تلو
حدا
حبیبی
طول
مدى
روح
ملی
علی
ملی
علی
روح
ملی
علی
قلو
شتق
لیه
هوی
الم
فی
تلو
حدا
حبیبی
طول
مدى
روح
ملی
علی
شتق
کتیر
رجع
لقى
یوم
نسى
عتب
ولم
حکی
ضحک
مشى
درب
هوى
نام
صحى
یدی
روح
قلو
غیرو
یحکی
ملی
ریت
هالضحکی
شو
بحب
اسل
رکی
حلو
حلو
عدو
رقى
یحلم
تلی
لقى
او
خطر
سرق
بلو
ملی
علی
روح
هید
عنو
شفلی
ان
کنو
زعل
او
غیری
قلبوداهتدى
دری
حبیبی
ندى
نسم
الی
حلی
روح
قلو
غیرو
بدی
حبو
دینی
ادی
دیلو
هالعمر
ودی
لمی
حکیلو
هالعمر
رقه
یرجعلی
سعد
شثى
وشو
حلى
بقى
یمی
ملی
علی
روح
ملی
علی
قلو
شتق
لیه
هوی
الم
فی
تلو
حدا
حبیبی
طول
مدى
روح
ملی
علی
شتق
کتیر
رجع
لقى
یوم
نسى
عتب
ولم
حکی
ضحک
مشى
درب
هوى
نام
صحى
یدی
ملى",مروان خورى,مروان خورى,2010,positive,sadness,بقى
